Entity,Code,Year,Oil consumption - TWh,Country name,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years,Oil consumption per capita - TWh,Cluster
Brazil,BRA,1975,538.16486,Brazil,108700510,3365723,15812934,44071976,66238116,60833436,64628464,57171564,3208841,12447211,14492705,13766337,12033892,18319536,12570739,9401126,6297947,3830381,1762220,395536,17085,77,4.95E-06,0
Bulgaria,BGR,1975,140.9609,Bulgaria,8860971,146065,702200,2039266,3352298,5843551,6821065,6435819,143786,556135,689162,647904,649107,1364383,1149852,1265473,991615,810696,456729,119461,13749,640,1.59E-05,3
Canada,CAN,1975,1013.2218,Canada,23136250,348938,1769905,6055860,10590145,15120349,17079642,15658526,344159,1420967,1942141,2343814,2349834,4177978,2930896,2552222,2213340,1598886,878699,333189,44598,748,4.38E-05,4
Chile,CHL,1975,52.450928,Chile,10639534,260165.98,1286441,3821406,5985089,6370665,6818128,6110838,256762,1026275,1284408,1250557,1154664,1848189,1276388,1097378,733496,456533,207429,43363,688,0,4.93E-06,0
China,CHN,1975,804.07825,China,915124700,23189762,127845790,369138400,547665200,509800350,545986200,496483140,24790248,104656030,131505620,109786990,87953580,156445840,98731416,83913496,60573584,38639770,16607803,3016803,103878,88,8.79E-07,6
Colombia,COL,1975,83.72641,Colombia,23403732,721636,3472180,10127420,15176958,12528663,13276275,11534456,698170,2750544,3407940,3247300,2795902,3993941,2439490,1706626,1158444,749029,335543,91197,6103,38,3.58E-06,6
Cyprus,CYP,1975,8.53023,Cyprus,644990,11191,55843,179816,309127,403679,465168,423183,11602,44652,58252,65721,69446,111579,76737,66612,54140,47600,29655,8127,1272,6,1.32E-05,3
Czechia,CZE,1975,126.14466,Czechia,10025718,189576,846373,2218136,3763569,6497685,7807492,7405665,184202,656797,687615,684148,712170,1692619,1252980,1225785,1045375,1089805,626227,152126,10405,90,1.26E-05,3
Denmark,DNK,1975,186.3196,Denmark,5058203,70957,363093,1146926,1888876,3233369,3911176,3691233,71293,292136,388903,394930,368450,787220,675088,557089,575732,507970,317669,110853,11105,101,3.68E-05,1
Ecuador,ECU,1975,18.147562,Ecuador,7105791,251820,1172309,3105050,4516143,3738670,4000730,3528060,239334,920489,1032431,900310,763317,1172802,759680,533612,366929,247692,121424,33027,2247,11,2.55E-06,6
Egypt,EGY,1975,97.01281,Egypt,38775584,1402352,6126386,16002157,23441704,21155378,22773414,20278280,1265490,4724034,5217465,4658306,4045360,6279209,3864434,3508113,2551547,1588653,744655,181233,10210,13,2.50E-06,6
Finland,FIN,1975,140.98915,Finland,4711384,64003.996,302186,1037033,1856314,3174179,3674325,3440535,59281,238182,350286,384561,398770,871587,614070,563765,494566,435433,233924,58220,3990,26,2.99E-05,5
France,FRA,1975,1307.875,France,52450030,754076,4122454,12503380,20847080,32842116,39945264,37444904,803368,3368378,4152730,4228196,4157673,8437813,6063449,6587813,5067217,4920623,3421774,1162741,126159,1388,2.49E-05,2
Germany,DEU,1975,1698.3301,Germany,78513510,773900,4349939,16920048,28260800,49918280,61592684,58013830,788307,3576039,6035431,6534678,5824423,10428362,11795612,9798368,7677716,8687912,5669069,1592668,118555,779,2.16E-05,2
Greece,GRC,1975,117.248055,Greece,8805416,143675,715172,2139428,3300292,5570616,6665094,6285026,141678,571497,739698,684558,620893,1112446,1149801,1296596,938085,851882,507959,162132,25300,894,1.33E-05,3
Hong Kong,HKG,1975,55.057316,Hong Kong,4451227,80605,397068,1380935,2382677,2836906,3070219,2731808,80509,316463,429317,554550,548349,794006,447299,507168,395605,244392,103681,26972,2747,73,1.24E-05,3
Hungary,HUN,1975,119.49149,Hungary,10520241,184339,792403,2147650,3852021,7036051,8372536,7934011,165484,608064,710574,644673,791755,1694968,1393515,1411490,1145602,1116810,640621,166535,11240,55,1.14E-05,3
Iceland,ISL,1975,6.96041,Iceland,218080,4215,21493,65570,107684,132555,152504,138838,4330,17278,21210,22867,22449,36592,24252,22542,18952,14296,9400,3697,324,6,3.19E-05,5
India,IND,1975,278.0928,India,623524200,21442342,96304296,251621400,373629920,348039330,371901860,331659140,19883024,74861950,81790456,73526660,65490500,100884550,70961784,56131184,40246390,25061186,10784613,2219301,122337,966,4.46E-07,6
Indonesia,IDN,1975,129.84836,Indonesia,131213220,4422788,20590340,55031976,78926800,71689550,76181070,67819100,4198003,16167551,18351578,16090061,13356336,19311432,16052057,12308445,7772700,5011642,2011973,341475,15008,171,9.90E-07,6
Iran,IRN,1975,257.91962,Iran,32856976,1217182,5446091,14113105,20606506,17593868,18743848,16548728,1118295,4228909,4655268,4011746,3531119,5220830,3442949,2842480,1948887,1098508,530799,121286,6989,24,7.85E-06,0
Iraq,IRQ,1975,39.173504,Iraq,11617631,470180,2181893,5417908,7349645,5670967,6199713,5634534,449443,1711713,1817676,1418339,952345,1731076,1179942,853850,674549,504811,252067,49065,2008,10,3.37E-06,6
Ireland,IRL,1975,61.815147,Ireland,3157921,67126,339270,980523,1512135,1834350,2177341,2004014,68154,272144,323198,318055,281977,469570,331291,298403,306696,265678,161343,56407,5976,57,1.96E-05,2
Israel,ISR,1975,74.56834,Israel,3388093,89505,425336,1109056,1750216,2008366,2279017,2084069,86353,335831,357819,325901,323188,603629,357837,317327,278092,243030,122005,31105,2804,20,2.20E-05,2
Italy,ITA,1975,1112.0737,Italy,55093990,831957,4288913,13385106,21175478,34983160,41708164,39238044,851538,3456956,4544927,4551266,4040542,7679459,7221141,7244965,5831460,5502934,3104828,992691,90145,719,2.02E-05,2
Japan,JPN,1975,2827.1125,Japan,112411640,1965053,9931649,26886912,43860610,76457980,85523780,80801496,2038206,7966596,8718884,8236379,7914985,19983068,18009658,15680904,10555873,7805733,4318419,1162024,93108,958,2.51E-05,2
Kuwait,KWT,1975,38.492832,Kuwait,1096004,41169,197031,489256,690845,589421,606748,541320,40057,155862,165232,126993,106110,188170,147765,90266,45375,18677,8266,2012,107,0,3.51E-05,1
Lower-middle-income countries,,1975,1067.2218,Lower-middle-income countries,1409162100,49830720,223855740,582524860,852023360,771733200,826630900,735612160,46212730,174025020,189644080,169025010,146885170,220365440,159400450,125774030,87365080,55951484,25033904,5477104,378254,6360,7.57E-07,6
Luxembourg,LUX,1975,15.61211,Luxembourg,353675,3938,20836,72641,126905,234526,281031,264716,3909,16898,24956,26849,27174,53047,48300,49613,37228,36686,22387,6120,476,3,4.41E-05,4
Malaysia,MYS,1975,54.68143,Malaysia,11617957,361348,1722019,4867697,7421533,6401432,6750258,5881423,353493,1360671,1585603,1560075,1403231,1989019,1259466,889871,637809,398458,143953,26809,1642,2,4.71E-06,0
Mexico,MEX,1975,394.21106,Mexico,58691880,2246802,10444312,27185014,38617770,29507974,31506428,27554088,2137733,8197510,9049813,7690888,6319014,9168730,6077372,4224191,2749213,1740888,913011,279861,34147,439,6.72E-06,0
Morocco,MAR,1975,33.62336,Morocco,17325328,670712,3037259,7908921,11318106,8897831,9416397,8228669,623524,2366547,2596972,2274690,1897698,2619731,1798448,1507279,839755,445868,258707,46601,2310,11,1.94E-06,6
Netherlands,NLD,1975,412.4857,Netherlands,13663970,180973,1031288,3466201,5771050,8723297,10197519,9485905,190082,850315,1203562,1231351,1172198,2331612,1738003,1521010,1368221,1109025,694106,239431,23913,250,3.02E-05,5
New Zealand,NZL,1975,51.22918,New Zealand,3095434,56630,301593,930345,1482542,1891923,2165028,1982059,58559,244963,308158,320594,295975,498146,367999,316349,288661,227542,122845,42263,5248,61,1.65E-05,3
Norway,NOR,1975,96.23275,Norway,4007471,57508,309569,953584,1564266,2505481,3053764,2869431,60156,252061,331429,312586,308557,617440,457106,417127,487148,405411,261673,90072,9230,123,2.40E-05,2
Oman,OMN,1975,12.904697,Oman,787204,36023,153414,368680,508344,391415,418524,369941,32242,117391,118262,97004,77467,114039,84674,57862,41777,27444,12578,2536,147,0,1.64E-05,3
Pakistan,PAK,1975,48.48073,Pakistan,68127000,2636918,11653340,29895324,42341780,35943864,38231664,33857190,2406716,9016422,9769845,8472138,6980595,10118962,7813978,5661308,3974989,2391792,1036927,238679,14433,14,7.12E-07,6
Peru,PER,1975,69.020676,Peru,15441500,567195,2599502,6716201,9706149,8090387,8725059,7720161,534597,2032307,2212520,1904179,1621818,2488579,1662222,1203928,805557,549336,280689,98963,13967,240,4.47E-06,0
Philippines,PHL,1975,114.68799,Philippines,42394428,1511361,7060267,18920394,27650598,22248344,23471366,20436704,1436684,5548906,6270555,5589572,4854934,6853484,4515303,3195365,2088069,1264397,522847,134876,42092,2667,2.71E-06,6
Poland,POL,1975,160.17279,Poland,33899770,620448,2859821,8147882,14923040,22520594,25751524,23771754,593424,2239373,2515619,2772442,3376445,6215555,4008825,4417868,3060021,2758342,1520577,366748,27142,364,4.72E-06,0
Portugal,PRT,1975,81.327896,Portugal,9202708,170976,841855,2518673,4003784,5716409,6683921,6203068,166423,670879,825030,851788,781752,1322037,1092500,1130535,954541,803274,444151,143654,11477,114,8.84E-06,0
Qatar,QAT,1975,2.7142978,Qatar,195054,6117,27582,70648,116807,121109,124406,110617,5730,21465,22043,21023,23246,43271,30212,15480,6955,3335,1516,375,16,0,1.39E-05,3
Romania,ROU,1975,162.52592,Romania,21167270,409392,1946215,5244406,8520000,13865155,15922838,15069669,391860,1536823,1947533,1350658,1545398,3279405,2945512,3055511,2027975,1855937,969914,228943,14243,26,7.68E-06,0
Saudi Arabia,SAU,1975,227.51584,Saudi Arabia,7897541,348582,1503355,3542798,5000220,4123823,4354736,3886536,314755,1154773,1137459,901984,762960,1290243,931791,618740,388049,230969,107248,23491,1245,7,2.88E-05,5
Singapore,SGP,1975,85.97112,Singapore,2232434,39492,217207,734229,1269503,1408220,1498201,1322475,43133,177715,235851,281171,288587,441232,264467,207374,147913,100664,39665,7767,532,4,3.85E-05,1
Slovakia,SVK,1975,72.499275,Slovakia,4737067,95531,439807,1234247,2122526,3028135,3502794,3244743,92808,344276,382823,411617,441222,808113,560763,564649,440745,401474,228349,53721,3758,26,1.53E-05,3
South Africa,ZAF,1975,140.55472,South Africa,25777966,896013,4167932,10594766,15581038,14227170,15183055,13567748,856119,3271919,3482200,2944634,2645396,4425635,3057939,2078531,1472550,961561,428320,102619,10504,146,5.45E-06,0
South Korea,KOR,1975,167.17403,South Korea,35930700,862837,4599320,13898720,21292262,20720364,22031956,19326808,881898,3736483,4595438,4703962,4235929,5749042,4558426,3266867,2191679,1251611,594448,168474,15479,24,4.65E-06,0
Spain,ESP,1975,499.90475,Spain,35760430,667145,3297830,9775829,15336547,22289808,25983868,24150914,665057,2630685,3255465,3222534,2960276,5119273,4280506,4660947,3710112,2927151,1741128,533754,50720,737,1.40E-05,3
Sri Lanka,LKA,1975,16.39198,Sri Lanka,13662872,362755,1777210,5170014,7916365,7886657,8492779,7564043,356152,1414455,1746135,1646669,1490935,2336930,1608824,1214316,908128,573759,273838,77829,8220,79,1.20E-06,6
Sweden,SWE,1975,301.48468,Sweden,8224408,106867,553837,1702006,2810378,5284269,6522193,6204750,110287,446970,585700,562469,537079,1241926,1088917,911005,1021425,919364,581442,200697,20338,209,3.67E-05,1
Switzerland,CHE,1975,150.11577,Switzerland,6338272,77966,423532,1421918,2350519,4119712,4916279,4634747,80484,345566,493345,505041,466243,978243,918599,783892,662595,594358,381804,119680,10865,75,2.37E-05,2
Taiwan,TWN,1975,124.44161,Taiwan,16551776,396401,1976024,6169882,9854606,9859288,10381868,9187995,392454,1579623,2088941,2104917,1962993,2937482,1918522,1551778,1104218,623871,232230,47860,2914,26,7.52E-06,0
Thailand,THA,1975,98.46377,Thailand,40908470,1227081,6115682,17370712,25674792,22242304,23536030,20734164,1219641,4888601,5931810,5323221,4520129,6750463,4750311,3453906,2064166,1231705,574857,162191,28302,1727,2.41E-06,6
Trinidad and Tobago,TTO,1975,32.481552,Trinidad and Tobago,1054023,27576,132395,395542,630091,611345,658452,581522,27175,104819,122637,140510,125141,193809,112256,85415,69204,44728,21631,5406,862,29,3.08E-05,5
Turkey,TUR,1975,146.75865,Turkey,39673588,1331802,6017239,16547309,23982308,21217160,23125942,20701536,1247979,4685437,5474918,5055152,3964819,6323664,4388766,3366476,2322178,1533405,858804,308671,59159,336,3.70E-06,6
United Arab Emirates,ARE,1975,7.674208,United Arab Emirates,543410,14905,64616,148120,266312,385371,395290,373261,13628,49711,49033,34471,42313,160822,104680,49021,20896,11233,5136,1114,75,0,1.41E-05,3
United Kingdom,GBR,1975,1092.2395,United Kingdom,56266852,705490,3932699,13138250,21152892,35232556,43126824,40570640,738955,3227209,4546789,4658762,4153107,8082483,6771551,6469084,6573612,6027594,3686185,1226366,136840,1778,1.94E-05,2
United States,USA,1975,9049.838,United States,211274540,3037760,15660262,53055850,92956620,136149520,158209060,145695420,2962178,12622502,17246316,20149272,20719340,35354270,25329480,23500526,21937348,17256494,9861602,3778438,471562,9624,4.28E-05,4
Venezuela,VEN,1975,163.226,Venezuela,13176391,440902,2092185,5720413,8467538,7077927,7455954,6511103,427043,1651283,1904032,1724196,1520460,2183884,1417785,1031058,694714,394963,169463,41135,2492,24,1.24E-05,3
Vietnam,VNM,1975,36.901665,Vietnam,46969616,1535793,7227690,19289618,28910036,25151160,27679846,24264698,1503361,5691897,6149973,5911955,5408296,7148419,4275473,4003212,3067218,2210377,1230976,313451,22425,153,7.86E-07,6
Algeria,DZA,1973,32.900345,Algeria,14786473,601323,2653721,6936001,9846722,7373788,7850472,6833665,549359,2052398,2258590,2023690,1644557,2184497,1486177,1093586,701339,467809,220492,50983,1032,0,2.23E-06,0
Argentina,ARG,1973,297.19864,Argentina,25020592,580629,2698165,7419268,11755771,15876561,17601276,16247056,555749,2117536,2419131,2301972,2233528,4038433,3292329,3001513,2378898,1654402,798194,193097,10881,49,1.19E-05,2
Australia,AUS,1973,331.89294,Australia,13513318,254063,1291231,3807859,6134982,8549813,9705223,8981485,263651,1037168,1227757,1288871,1186524,2224385,1658355,1581775,1351487,973120,522751,188389,18437,236,2.46E-05,6
Austria,AUT,1973,139.92781,Austria,7584024,99055,547694,1812970,2886408,4675173,5770979,5431322,104138,448639,638941,626335,549244,1030213,980890,917067,757004,842372,529175,153030,11984,75,1.85E-05,2
Bangladesh,BGD,1973,11.208105,Bangladesh,71144820,2970249,12777765,32324504,45024668,36608764,38820310,34292280,2671012,9807516,10525471,9021268,7194284,10279897,7836368,5817413,4060222,2443842,1020196,165084,3006,0,1.58E-07,0
Belgium,BEL,1973,360.63428,Belgium,9727987,131492,689494,2236042,3714480,6153145,7491809,7033816,137501,558002,758498,788050,755612,1401008,1155497,1292558,1021247,1006627,645072,196628,17560,136,3.71E-05,1
Brazil,BRA,1973,470.9368,Brazil,103666904,3288876,15399620,42963796,63794430,57217184,60703030,53676716,3123936,12110744,14352402,13211773,11323425,16998492,11956038,8979722,5884108,3575953,1612937,357473,14883,79,4.54E-06,0
Bulgaria,BGR,1973,127.88814,Bulgaria,8753492,136188,699925,2013996,3358157,5821844,6738757,6343833,134969,563737,665290,648781,662485,1354861,1168133,1275713,922799,806433,421530,114424,12379,739,1.46E-05,2
Canada,CAN,1973,1009.6328,Canada,22502026,342075,1789046,6240118,10550397,14407271,16261268,14884008,350672,1446971,2086253,2364819,2269934,3875575,2743650,2548539,2128571,1504038,829676,321262,40023,640,4.49E-05,5
Chile,CHL,1973,61.419964,Chile,10307850,263608,1298269,3800498,5873880,6090691,6507352,5822573,258363,1034661,1280236,1221993,1111727,1742327,1236284,1069501,683417,429914,194827,38819,536,0,5.96E-06,4
China,CHN,1973,633.9831,China,881652100,26694710,137385490,354947970,533129300,493007870,526704030,469005500,26913786,110690776,129479430,88083050,95899140,140110020,97796100,80244136,58023508,36673510,15191549,2672126,93955,86,7.19E-07,0
Colombia,COL,1973,86.37415,Colombia,22396324,711611,3466150,9965604,14662549,11735226,12430685,10799637,692803,2754539,3396305,3103149,2611723,3689713,2292583,1628207,1103828,699695,313121,86219,5596,35,3.86E-06,0
Cyprus,CYP,1973,11.51917,Cyprus,650706,11441,56349,186673,314920,403454,464027,421344,10976,44908,61271,69053,69609,110824,75820,66715,54153,48217,28220,9275,1194,6,1.77E-05,2
Czechia,CZE,1973,111.4943,Czechia,9900301,169652,751690,2104083,3733985,6537399,7796146,7341466,155780,582038,701804,650589,779144,1675075,1178834,1280746,1021031,1106699,599712,144908,9997,72,1.13E-05,2
Denmark,DNK,1973,208.22063,Denmark,5008581,73136,363584,1149373,1898394,3211042,3859127,3637238,74612,290448,409765,376024,370389,803368,621310,566791,577121,500930,305865,103577,9776,81,4.16E-05,5
Ecuador,ECU,1973,16.284168,Ecuador,6720451,245113,1133506,2963542,4291792,3505332,3756900,3311639,231710,888393,983900,846136,718774,1085903,710205,504521,351369,234605,117273,32121,2129,9,2.42E-06,0
Egypt,EGY,1973,79.572014,Egypt,37120780,1341687,5882494,15344302,22425250,20242052,21776464,19388190,1216704,4540807,5025550,4436258,3864503,5838024,3813810,3417406,2440683,1515866,707990,168651,9531,12,2.14E-06,0
Finland,FIN,1973,156.46223,Finland,4666168,57336,308694,1066945,1914076,3132731,3599202,3354190,59581,251358,370584,387667,412194,843032,582721,571465,486397,429299,217020,53663,3411,21,3.35E-05,1
France,FRA,1973,1506.0256,France,51814076,842588,4197621,12563114,20963764,32366028,39249760,36767292,858846,3355033,4194625,4170868,4126710,8022064,6082315,6637760,4861517,5008888,3276931,1116637,116937,1204,2.91E-05,6
Germany,DEU,1973,1927.148,Germany,78667470,843024,5023477,17751124,28707248,49609224,60915716,57540664,933047,4180453,6441271,6286375,5550211,10135329,12002636,9532021,7727623,8937116,5404916,1515952,109913,633,2.45E-05,6
Greece,GRC,1973,117.920204,Greece,8666390,140026,721363,2119840,3268293,5508698,6545726,6157309,141768,581337,728725,669752,625333,1079425,1172693,1258061,914860,841358,470672,158373,24951,824,1.36E-05,2
Hong Kong,HKG,1973,57.120667,Hong Kong,4234756,79549,381955,1414094,2321008,2615167,2820613,2508037,77654,302406,475366,556773,498925,672057,446399,493826,372408,217605,93227,23836,2330,49,1.35E-05,2
Hungary,HUN,1973,96.752205,Hungary,10410508,150036,739218,2083467,3843483,7054212,8326995,7820131,146828,589182,668147,676102,904572,1603519,1374507,1436806,1117965,1105726,618715,154804,10381,46,9.29E-06,4
Iceland,ISL,1973,7.9397244,Iceland,212377,4545,21081,66218,106552,127088,146156,132844,4361,16536,22322,22815,21626,34357,22810,22383,18368,13986,9015,3333,278,3,3.74E-05,1
India,IND,1973,276.95908,India,596107460,20834574,92714300,242226940,357647870,331640540,353879900,315214530,19127382,71879736,78803820,70708800,62707708,93422280,69020920,53978624,38658596,23895292,10089480,2011054,95938,653,4.65E-07,0
Indonesia,IDN,1973,108.37455,Indonesia,124709060,4346583,20080420,52790730,74692460,67808210,71918180,64216772,4097459,15733836,17598748,15111560,12268478,18226710,15651394,11526685,7367594,4739929,1822230,301929,13231,153,8.69E-07,0
